OBJECTNUMMER;CodeJ;_2021;_2020;_2019;_2018;_2017;_2016;_2015;_2014;_2013;_2012;_2011;_2010;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"1HDG17";19;19.8;24.7;26.4;28.1;28;26.1;26.2;27.4;30.6;28.3;30.3;"0";"0";0;0;
2;"ESW/G";0;27.8;34.6;38.7;40.5;41.2;0;0;0;0;0;0;"0";"0";0;0;
3;"AD14";25.4;25.1;29.7;34;39.1;0;0;0;0;0;0;0;"0";"0";0;0;
4;"AD7";27;28.2;33;39;42.9;0;0;0;0;0;0;0;"0";"0";0;0;
5;"ADM58";15.7;18.6;23.1;23.2;27;27;25.1;28;26;29.6;29.5;28.9;"0";"0";0;0;
6;"AFR212";21.3;22.3;29;32.5;34.3;34;0;0;0;0;0;0;"0";"0";0;0;
7;"AL29";17.4;18.7;23.1;22.6;24.3;25.5;22.6;25;25;27.6;28.3;28;"0";"0";0;0;
8;"ALP17";17.8;18.7;24.1;25.3;28.1;27;31.1;27.2;28.8;30.4;0;0;"0";"0";0;0;
9;"AMS13";25.5;24.8;33.5;34.8;37.4;0;0;0;0;0;0;0;"0";"0";0;0;
10;"AMS45";20.5;23.7;29.2;32.1;32.6;0;0;0;0;0;0;0;"0";"0";0;0;
11;"AMS46";22.1;23.5;31.9;34.8;34.7;35.9;34.5;35.8;0;0;39.5;39.8;"0";"0";0;0;
12;"AV9";15.6;17.3;23.2;26;27;27.2;26.8;26.1;26.3;0;0;34.4;"0";"0";0;0;
13;"AVW211";20.6;22.1;27.6;28.9;32.5;37.5;35.6;38.2;38.3;39.8;38.7;42.4;"0";"0";0;0;
14;"AVW390";25.1;30.2;38.2;40.2;50.4;49.6;46.8;47.5;47.1;50.7;50.6;50;"0";"0";0;0;
15;"AVW761";27.5;27.4;35.8;37.8;46.3;46.6;39.7;41.4;45;43.4;46.5;49.6;"0";"0";0;0;
16;"BAN8";0;17.8;21.9;23.3;25.4;25.9;24.9;26.6;26.4;29.3;28.2;29.8;"0";"0";0;0;
17;"BIJL738";25.9;28.3;33.8;35.6;37.9;39.2;35.8;37.4;37.6;40.7;41.9;42.3;"0";"0";0;0;
18;"BIN37";18.9;20;26.4;30.4;30.7;31.5;30.5;32.2;32.4;32.8;33.4;34.8;"0";"0";0;0;
19;"BLM93";18.9;20.5;26.7;30.8;31.1;30.2;29.2;31.8;31.1;33;32.4;33.8;"0";"0";0;0;
20;"BOR143";16.1;18.8;22.9;23.5;25.7;26.9;25.9;29;28.6;29.5;0;29;"0";"0";0;0;
21;"BOR79";21.4;24;29.2;31.4;34.5;37.4;34.2;36.8;35.3;37.4;37.4;38.9;"0";"0";0;0;
22;"BRAN4";19.3;22;27.6;27.5;32.3;30.7;31.2;31.4;30.9;34.8;35.7;36.3;"0";"0";0;0;
23;"BS19";21.6;24.5;34.3;38.4;0;42.7;42.6;43.7;42.1;43.4;43.2;44.6;"0";"0";0;0;
24;"CCL137";20.3;23.3;29.7;29.5;34.2;32.9;31.4;32.1;30.5;36;35.5;36;"0";"0";0;0;
25;"CHL10";18.3;21.2;24.9;28.1;28.4;28.9;28.4;29.6;0;0;0;0;"0";"0";0;0;
26;"COBA10";15;16;19.3;20.5;22.1;23.1;22.1;23.1;23.7;24.4;24.6;26.8;"0";"0";0;0;
27;"CON";0;23;32.3;33.7;37.2;36.3;0;0;0;0;0;0;"0";"0";0;0;
28;"CVT9";15.5;17.8;20.6;21.3;25.2;25.1;23.2;26.9;25.4;26.5;0;26.1;"0";"0";0;0;
29;"DAM23";21.7;26;38.7;43.7;50.1;47.2;45.3;46.7;46.4;48.8;0;0;"0";"0";0;0;
30;"DAM 243";19.5;21.3;31.5;35.6;39.3;39.7;39.7;0;49.8;50.3;50.7;49.9;"0";"0";0;0;
31;"DECL110";25;25.6;33.3;30.3;38.1;40.7;36.9;38.7;39;40.3;40.7;43.2;"0";"0";0;0;
32;"DECL40";23.5;23.6;31.6;29.6;38.4;42.1;38.5;39.5;38;39.7;40.6;43.4;"0";"0";0;0;
33;"DIN94";17.4;18.2;23.7;24.1;26.6;26.1;25.8;27.1;27;29.9;29.9;30.8;"0";"0";0;0;
34;"DORA1";15.8;17.4;22.9;23;26.6;25.6;23.6;24.3;23.9;27.3;26.6;28.8;"0";"0";0;0;
35;"EUP61";24.6;26.5;36.5;41;44.2;42.2;40.6;41.7;44.7;50;51.3;45.7;"0";"0";0;0;
36;"FOEL6";30.9;32.5;44.8;50.2;53.4;46.4;47;47.8;48.3;50.8;49.7;52.1;"0";"0";0;0;
37;"GIBR67";19.2;20.2;25;25;27.5;28.2;27.1;27.3;28.5;30.3;31.6;34.2;"0";"0";0;0;
38;"HDG7";26.3;30;40.2;45.5;47.1;47.3;44.3;45;44.3;47.7;43.7;40.8;"0";"0";0;0;
39;"HDP104";16.9;18.5;23.4;23.9;26;27.2;25.1;27.5;26.3;31.5;28.9;31.2;"0";"0";0;0;
40;"HEM187";17.3;18.2;23;24.2;26.7;25.6;25.4;25.8;26;28;28.9;0;"0";"0";0;0;
41;"HEMO18";18.4;20.2;25.8;26.6;30.2;31;31.7;32.3;31.2;35.1;35.2;34;"0";"0";0;0;
42;"HEN124";32.1;32.1;40.8;48;54.7;55;52.4;55.8;51.1;56.3;56.9;59.3;"0";"0";0;0;
43;"HEN150";36;36.7;40.1;49.6;58.5;56;56.8;55;53;58.5;59.5;58.3;"0";"0";0;0;
44;"HEN167";25.6;26.5;36.5;44.5;49.5;46;0;0;0;0;0;0;"0";"0";0;0;
45;"HEN68";23.3;26.7;42;47.4;53;50.6;50.7;55.6;51.3;55.1;55.9;53.9;"0";"0";0;0;
46;"HLW119";24;24.3;30.5;34.2;38.2;38.9;0;0;0;0;0;0;"0";"0";0;0;
47;"HLW645";22;22.7;28.6;29.5;33.4;34.5;33.3;33.5;31.8;35.5;37.9;38.1;"0";"0";0;0;
48;"HLW77";27.7;28.9;35.4;40.2;46.2;0;43.3;46.4;43.6;49.1;0;0;"0";"0";0;0;
49;"HOUT43";22.2;22.7;30.8;35.3;0;0;0;0;0;0;0;0;"0";"0";0;0;
50;"HP11C";0;18.5;22.8;24.3;27.7;26.6;26.8;26.9;27.2;28.9;27.9;30.5;"0";"0";0;0;
51;"HS6";17.1;19.1;23.9;24.5;27.8;26.6;25.7;27.1;28.4;29.1;28.3;31.7;"0";"0";0;0;
52;"IJB19";0;20.7;25.9;26.8;29.2;28.4;26.6;27.3;31.1;31.8;31.3;31;"0";"0";0;0;
53;"IJS27";0;16.2;21.4;21.9;24;24.4;24.6;23.5;24.6;27.3;26.4;28.8;"0";"0";0;0;
54;"ING10";0;17.6;22;22.9;27.3;25.6;25.1;25.2;26;27.6;28.5;28.3;"0";"0";0;0;
55;"JAVA700";0;20.8;25;26;31.4;30.7;30.9;29.5;30;32.6;34.3;0;"0";"0";0;0;
56;"JVG151";24.8;27.7;35.2;39.4;41.3;41.3;37.3;41.4;40.1;43.3;41.8;0;"0";"0";0;0;
57;"JVG255";31.1;33;44.1;45.6;52.1;48.1;46.7;48.4;49.4;51.6;49.9;52;"0";"0";0;0;
58;"KAT6";16.7;20;29.6;32.5;32.1;32.3;30.9;0;0;0;0;0;"0";"0";0;0;
59;"KH32";14.9;17.5;22.7;23.4;27.7;26.7;26.6;0;0;0;0;0;"0";"0";0;0;
60;"KORT100";14.4;14.8;20.3;21.2;24.9;23;20.3;20.6;20.6;23.3;22.3;25.7;"0";"0";0;0;
61;"LEP4";15.4;16.9;22.2;23.7;25.5;26.3;25.1;25.7;25.8;29.4;28;29.3;"0";"0";0;0;
62;"LIN98";21.3;25.7;34;34.6;40.6;39;35.8;38.6;37.7;42.9;44;42.8;"0";"0";0;0;
63;"LUYK38";17.7;17.4;22.9;23.9;28.2;28;28.2;28.4;29;30.7;31.1;32.1;"0";"0";0;0;
64;"MAUK109";20;21.4;26.5;28.7;29.5;31.7;29.2;32.1;31.5;35.5;36.3;42.3;"0";"0";0;0;
65;"MID145";19.3;19.1;24.8;27.3;29.5;28.7;29.8;30.5;31.4;33.4;34.2;35;"0";"0";0;0;
66;"MID560";19.8;22;26.8;27.9;29.3;30.1;29.3;30.5;32.9;33.4;32.3;34.5;"0";"0";0;0;
67;"MOL101";26.6;28.6;33.9;36.4;36.9;37.8;34.7;39.7;41.1;40.7;43.1;45.9;"0";"0";0;0;
68;"MW269";20.3;23.2;29.1;29.5;32.1;34.6;34.7;32.4;31.3;37.5;35.5;37.1;"0";"0";0;0;
69;"NGS97";19.5;21;27;27.3;33.3;31.1;29.8;31.4;29.8;34.8;35.2;35;"0";"0";0;0;
70;"NK168";24.5;25.6;35.6;36.5;41.3;39.5;37.4;37.8;37.1;40.7;43.5;43.5;"0";"0";0;0;
71;"NK370";23.2;25.7;32.4;35;45.1;42.5;0;0;0;0;0;0;"0";"0";0;0;
72;"NOVA116";0;18.6;23.4;25.2;26.6;26.4;26.3;28.3;26.8;29;29.3;31.8;"0";"0";0;0;
73;"OBG75";21.7;24;28.4;31.2;37.3;38.8;36.2;39.2;37.8;40.9;41.9;45.1;"0";"0";0;0;
74;"OVT167";22.2;24.6;32.7;35.2;39.2;41.5;39.7;41.6;42.4;44.7;46.6;46.6;"0";"0";0;0;
75;"OVT557";0;25.7;32.9;37.1;40.4;41;40.5;43.8;46.1;46.2;46.8;48.6;"0";"0";0;0;
76;"OVT64";26.2;26;35;38.1;42.8;43.9;0;0;0;0;0;0;"0";"0";0;0;
77;"OVT89";29.4;31.2;40.4;47.1;51.9;53.5;50;54.3;56;55;55.7;54.5;"0";"0";0;0;
78;"PBP";22.9;25.4;32;35.8;39.4;37.2;37.4;39;38.3;41.7;40.6;42.9;"0";"0";0;0;
79;"PKL45";0;18.8;23.7;24.2;28.1;26.8;27.2;29.2;29.7;31.7;32.2;34;"0";"0";0;0;
80;"PVDD67";18.9;20.1;25.2;26.4;30.1;29.2;27.7;27.9;27.8;30.8;30.4;31;"0";"0";0;0;
81;"PYTH120";14.6;17.4;20.9;21;24.6;23.2;23.8;24.4;24.7;27.9;25.9;26.7;"0";"0";0;0;
82;"RBS28";18.7;20;26.7;30.1;33.6;31.9;32.8;31.3;31.6;33.2;33.9;35.2;"0";"0";0;0;
83;"RIJN31";22.6;24.2;30;32.1;34.9;36.7;34.9;38.3;42.8;47.6;41.1;41.7;"0";"0";0;0;
84;"RS91";16.8;18.1;22.3;23;23;25.8;25.3;26.3;26;28.6;29.9;26.7;"0";"0";0;0;
85;"RTK5";23.3;25.8;36;43.3;0;40.7;40.7;43.4;42.5;45;46.5;45.4;"0";"0";0;0;
86;"SB28674";0;20.5;27;28.5;29.2;29.4;29.9;29.4;29.5;0;0;0;"0";"0";0;0;
87;"SPD165";0;0;32.4;33.3;51.2;49.2;0;0;0;0;0;0;"0";"0";0;0;
88;"SPD29";23.5;24.8;31.5;29.8;44.4;0;0;38.8;38;41.5;43.3;0;"0";"0";0;0;
89;"SPD53";23.1;23.8;30.7;31.4;43.1;0;0;40.5;38.4;43.5;44.1;0;"0";"0";0;0;
90;"SPUI250";16.5;17.7;24.4;27.3;31.3;31.5;32.2;34.4;34.8;0;0;0;"0";"0";0;0;
91;"SPUI29";20.4;25.4;32.9;37.2;39.6;41.1;38.1;41.3;42.5;42.8;43.4;48.2;"0";"0";0;0;
92;"STDK115";28.4;30.7;42.3;45.3;48.8;47.7;45.1;47;45.3;47;47.5;48.1;"0";"0";0;0;
93;"STDK137";27.7;30.4;40;41.9;46.3;45.8;43;41;38.9;42.8;45.4;42.3;"0";"0";0;0;
94;"STDK156";26.7;30.2;38.9;39.7;43.6;44.5;39.3;44.3;38.7;42.2;43.8;44.1;"0";"0";0;0;
95;"STDK30";25.1;28.3;40.5;42.2;51.8;48.8;49.4;49.4;48.8;53.2;54.6;51.5;"0";"0";0;0;
96;"STDK55";29.8;31.9;44.7;47.6;54.5;54.4;53.8;54.8;52.9;58.5;59.1;53.9;"0";"0";0;0;
97;"STDK58";29.4;30.6;43.6;45.6;53.4;51.2;0;0;0;0;0;0;"0";"0";0;0;
98;"SUM1369/W";20.3;22.4;26.8;31;31.8;32.6;32.2;32.2;33.3;0;0;0;"0";"0";0;0;
99;"SUM1435";21.5;23.4;28.6;30.7;30.8;32.6;32.2;32.7;31.5;0;0;0;"0";"0";0;0;
100;"T1";20;21.1;26.5;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
101;"T2";20.8;21.2;29.5;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
102;"T3";18.9;23.7;31.3;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
103;"T4";19.9;23.5;27.2;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
104;"T5";18.9;22.5;26.8;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
105;"T6";16.3;21.8;25.6;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
106;"T7";13.9;16.3;19.4;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
107;"T8";0;20.2;24;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
108;"TAS373";21.3;21.7;27;29.2;42.6;41.3;40.5;40.5;37.4;45.6;44.6;44.5;"0";"0";0;0;
109;"TAS45";21.6;22.3;28.2;30.9;35.3;39.3;36.8;37.5;36.8;41.5;41.6;39.4;"0";"0";0;0;
110;"TK10";18.6;20.5;26.5;29.3;30.6;32;30.7;32.2;32.4;33.6;0;0;"0";"0";0;0;
111;"TOR68";0;18.2;22.9;21.6;25.3;25.3;24.8;26.2;27.9;29.6;30;28.3;"0";"0";0;0;
112;"TPBV";14.6;16.2;21.3;22.3;24.6;26.1;24.5;26.1;27.9;29.4;27.1;31;"0";"0";0;0;
113;"UIL70";17.3;19.9;24.8;27.1;26.9;28.1;27.8;28.4;28.5;32;30.7;33.8;"0";"0";0;0;
114;"UT66";22;24.5;33.9;36;41.8;38.2;37.4;38.9;37.7;0;40.6;38.1;"0";"0";0;0;
115;"VBP166";16.4;16;22.2;22.6;24.6;24.7;22.8;26.1;25.9;28.7;29.9;29.4;"0";"0";0;0;
116;"VH42";19.3;19.3;25.9;26.2;28;28.9;26.7;26.4;26.6;30.8;29.4;31.5;"0";"0";0;0;
117;"VLAM143";0;19.4;24.3;24.1;28.4;28.5;26.9;26.5;26.8;29;29.9;32.7;"0";"0";0;0;
118;"VLK/HOEK";29.9;30.9;44.5;51.5;51.2;47.2;50.4;54.3;52.6;53.4;52.2;53.9;"0";"0";0;0;
119;"VLK1B";24.5;27.5;36.4;41.5;43.5;0;0;0;0;0;0;0;"0";"0";0;0;
120;"VLK68";26.6;28.3;37.7;39.6;45.7;40.9;0;0;0;0;0;0;"0";"0";0;0;
121;"VWS56";24.8;27.2;33.5;34;40.4;0;38.3;39.4;41.9;44.5;42.4;43.8;"0";"0";0;0;
122;"WDD103";25.2;23.5;33.2;33.9;34.7;0;0;0;0;0;0;0;"0";"0";0;0;
123;"WDK";24;23.3;32.8;34.8;33.7;33;30;31.7;31.7;33.7;33.4;33.4;"0";"0";0;0;
124;"WIB50";23;24.1;31.5;33.6;36.6;0;0;0;0;0;0;0;"0";"0";0;0;
125;"WPW35";20.3;21.9;29.4;30.3;36.5;35.5;32.4;32.8;34.2;35.1;33.6;34.9;"0";"0";0;0;
126;"WSP13";19.7;22.6;29.6;32;34.5;34.4;35.4;35.6;33.6;37;37.5;41.8;"0";"0";0;0;
127;"WSS100";21.8;24.9;33.7;34.9;38.6;0;0;0;0;0;0;0;"0";"0";0;0;
128;"WSS105";22;23.7;29.5;34.2;36.9;0;0;0;0;0;0;0;"0";"0";0;0;
129;"ZEIL34";23.8;23.4;29;32.7;37.1;35.9;32.7;37.9;39.5;39.9;40.7;46.7;"0";"0";0;0;
130;"ZUID317";23.3;26.7;30.7;32.5;35.4;34.6;34.1;35.1;33.8;36.2;35.4;36.6;"0";"0";0;0;
131;"OK4";15.3;15.4;20.2;22.8;23.5;23.2;21.2;22.1;23.9;24.6;24.7;0;"0";"0";0;0;
132;"OK5";12.1;16.6;18.7;17.4;21.7;21.8;19.9;20.1;18.8;22.6;22.2;0;"0";"0";0;0;
133;"OK6";14.6;15;19.3;20.4;23;22.5;22.4;23.3;22.8;26.6;25.3;0;"0";"0";0;0;
134;"OK7";13.9;16;19.1;20.6;23;23.2;22;24.2;26;25.6;26.6;0;"0";"0";0;0;
135;"OK8";15.3;16.5;21.4;22.7;24.6;24.5;24.2;25.5;25.6;27.5;29.6;0;"0";"0";0;0;
136;"OK9";15.7;17.2;22;20.2;25.7;24.9;23.8;24.7;24.6;27.3;26.9;0;"0";"0";0;0;
137;"MID3A (OK)";0;0;0;0;0;28.2;22.3;21.4;21.6;23.9;23.6;0;"0";"0";0;0;
138;"OK11";13.8;15.2;19.8;19.6;21.3;21.8;20;20.7;20.9;22.7;22.7;0;"0";"0";0;0;
139;"OK18";15.9;16.8;21.2;22.8;23.2;24.8;22.6;25.4;25.8;29.7;28.8;0;"0";"0";0;0;
140;"OK19";16;16.7;21.7;22.9;25.5;25.8;24.2;25;25.5;27.8;24.7;0;"0";"0";0;0;
141;"OK22";15.1;16.1;21.2;22.7;21.3;23.4;22.2;22.8;23.9;24.9;24.8;0;"0";"0";0;0;
142;"OK23";14.4;15.6;20.1;20.5;23.1;22.8;21.5;23.3;23.7;26.5;27.1;0;"0";"0";0;0;
143;"OK24";13.1;13.8;17.3;18.4;21.3;20.1;19;21.7;20.5;20.7;21.5;0;"0";"0";0;0;
144;"SATB/GB";0;0;0;0;26.3;26.4;26.5;27.9;27.4;29.1;32.7;0;"0";"0";0;0;
145;"DD13";22.2;22.8;29;29.5;32.7;33;32.5;32.3;33.5;36.9;35.5;0;"0";"0";0;0;
146;"DD14";17.3;17.8;21.6;23.2;25.6;26;24.2;25.9;26.8;27.8;30.1;0;"0";"0";0;0;
147;"DD15";14.4;15.9;20.3;19.2;22.1;22.5;22.7;24.8;23.9;26.4;26.5;0;"0";"0";0;0;
148;"DD16";18.5;19.4;25;26;29.8;29.3;26.4;27.9;27.6;30.7;28.8;0;"0";"0";0;0;
149;"DD17";18.9;19.5;22.7;26.2;29.6;28.8;28.3;29.9;33.5;33.8;33.7;0;"0";"0";0;0;
150;"DD20";18.6;20.4;26.7;27.3;31.1;31.9;28.4;34;31.5;35.4;34.6;0;"0";"0";0;0;
151;"DD21";19.9;21.6;29;30.4;40.7;33.9;34.6;33.7;34.4;39.4;35.6;0;"0";"0";0;0;
152;"DD25";16.7;18.7;23;24.1;25.4;24.8;26.3;25.3;26.8;29.1;29.1;0;"0";"0";0;0;
153;"DD27";13.7;14.3;19.5;18.3;20.8;19.4;20.2;21.3;22.2;21.7;22.7;0;"0";"0";0;0;
154;"DD28";18.4;19.2;26.4;25.5;31;28.8;28.1;28.4;28.4;30.5;30.7;0;"0";"0";0;0;
155;"DD12";15.2;17;21.4;22.6;0;0;0;0;0;0;0;0;"0";"0";0;0;
156;"DD3A";18.9;20;25.3;24.5;0;0;0;0;0;0;0;0;"0";"0";0;0;
157;"OK10";13.3;15.2;18.5;18.6;0;0;0;0;0;0;0;0;"0";"0";0;0;
158;"OK2A";15;16.3;19.9;20.9;0;0;0;0;0;0;0;0;"0";"0";0;0;
159;"Z1";14;16.4;19.2;20.1;21;20.9;21.7;23.6;22.3;22.5;22.6;24.8;"0";"0";0;0;
